corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	kori	0001	#	#	##	##				
nafsan	kori	0001	ZERO	ZERO	0.1:a	0	1	a		
nafsan	kori	0001	a=	1S.RS=	=lv	=lv				
nafsan	kori	0001	na	want	v:pred	v		pred		
nafsan	kori	0001	#	#	#cc:p	#cc		p		
nafsan	kori	0001	ZERO	ZERO	0.1:a	0	1	a		
nafsan	kori	0001	ka=	1S.IRS=	=lv	=lv				
nafsan	kori	0001	traus	tell	v:pred	v		pred		
nafsan	kori	0001	natrauswen	story	np:p	np		p		
nafsan	kori	0001	ni	of	rn	rn				
nafsan	kori	0001	Egun	p.name	rn_pn_np:poss	rn_pn_np		poss	101	new
nafsan	kori	0002	#	#	##	##				
nafsan	kori	0002	Egun	p.name	pn_np:dt	pn_np		dt	101	
nafsan	kori	0002	nrak	time	np:other	np		other		
nafsan	kori	0002	pei	first	rn	rn				
nafsan	kori	0002	i=	3S.RS=	=lv	=lv				
nafsan	kori	0002	piatlak	have	v:predex	v		predex		
nafsan	kori	0002	natam̃ol	person	np.h:s	np	h	s		
nafsan	kori	0002	kin	REL	other	other				
nafsan	kori	0002	naur	island	np:dt_l	np		dt_l	101	
nafsan	kori	0002	Egun	p.name	rn_pn_np	rn_pn_np			101	
nafsan	kori	0002	nen	that	rn	rn				
nafsan	kori	0002	#	#	##	##				
nafsan	kori	0002	Peter	p.name	pn_np.h:s	pn_np	h	s		
nafsan	kori	0002	Milne	p.name	rn	rn				
nafsan	kori	0002	i=	3S.RS=	=lv	=lv				
nafsan	kori	0002	pak	go_to	v:pred	v		pred		
nafsan	kori	0002	-wes	-3S.OBL	-pro:l	-pro		l	101	
nafsan	kori	0002	pa	go	rv	rv				
nafsan	kori	0003	#	#	##	##				
nafsan	kori	0003	i=	3S.RS=	=lv	=lv				
nafsan	kori	0003	piatlak	have	v:predex	v		predex		
nafsan	kori	0003	natam̃ol	person	np.h:s	np	h	s		
nafsan	kori	0003	#	#	##	##				
nafsan	kori	0003	me	and	other	other				
nafsan	kori	0003	i=	3S.RS=	=lv	=lv				
nafsan	kori	0003	piatlak	have	v:predex	v		predex		
nafsan	kori	0003	ntwam	devil	np.d:s	np	d	s	102	unused
nafsan	kori	0003	i=	3S.RS=	=rn	=rn				
nafsan	kori	0003	skei	one	rn_np	rn_np				
nafsan	kori	0003	#	#	##	##				
nafsan	kori	0003	ZERO	ZERO	0.d:s	0	d	s	102	
nafsan	kori	0003	i=	3S.RS=	=lv	=lv				
nafsan	kori	0003	to	stay	v:pred	v		pred		
nafsan	kori	0003	#	#	##	##				
nafsan	kori	0003	me	and	other	other				
nafsan	kori	0003	ZERO	ZERO	0.d:s	0	d	s	102	
nafsan	kori	0003	i=	3S.RS=	=lv	=lv				
nafsan	kori	0003	to	PROG	lv	lv				
nafsan	kori	0003	fam	eat:IR	v:pred	v		pred		
nafsan	kori	0003	#	#	##	##				
nafsan	kori	0003	natrauswen	story	np:pred	np		pred	103	new
nafsan	kori	0003	tilm̃ori	tell.truth	rn	rn				
nafsan	kori	0003	#	#	#rc:s	#rc		s		
nafsan	kori	0003	nen	REL	other	other				
nafsan	kori	0003	kineu	1S.	pro.1:a	pro	1	a		
nafsan	kori	0003	a=	1S.RS=	=lv	=lv				
nafsan	kori	0003	to	PROG	lv	lv				
nafsan	kori	0003	traus-i	tell-TS	v:pred	v		pred		
nafsan	kori	0003	ZERO	ZERO	0:p	0		p	103	
nafsan	kori	0003	#	#	##neg	##neg				
nafsan	kori	0003	ZERO	ZERO	0.1:a	0	1	a		
nafsan	kori	0003	a=	1S.RS=	=lv	=lv				
nafsan	kori	0003	kano	unable	lv	lv				
nafsan	kori	0003	traus	tell	v:pred	v		pred		
nafsan	kori	0003	natrauswen	story	np:p	np		p		
nafsan	kori	0003	psir	lie	rn_np	rn_np				
nafsan	kori	0004	#	#	##	##				
nafsan	kori	0004	nfaag	parable	np:dt	np		dt	103	
nafsan	kori	0004	ntwam	devil	np.d:s	np	d	s	102	
nafsan	kori	0004	nen	that	rn	rn				
nafsan	kori	0004	i=	3S.RS=	=lv	=lv				
nafsan	kori	0004	to	HABIT	lv	lv				
nafsan	kori	0004	fam	eat:IR	v:pred	v		pred		
nafsan	kori	0004	#	#	##	##				
nafsan	kori	0004	ZERO	ZERO	0.d:s	0	d	s	102	
nafsan	kori	0004	i=	3S.RS=	=lv	=lv				
nafsan	kori	0004	to	HABIT	lv	lv				
nafsan	kori	0004	fam	eat:IR	v:pred	v		pred		
nafsan	kori	0004	pan	until	other	other				
nafsan	kori	0004	#	#	##	##				
nafsan	kori	0004	me	and	other	other				
nafsan	kori	0004	ZERO	ZERO	0.d:s	0	d	s	102	
nafsan	kori	0004	i=	3S.RS=	=lv	=lv				
nafsan	kori	0004	pan	go	v:pred	v		pred		
nafsan	kori	0004	#	#	#ac	#ac				
nafsan	kori	0004	na	PURP	other	other				
nafsan	kori	0004	ZERO	ZERO	0.d:a	0	d	a	102	
nafsan	kori	0004	ke=	3S.IRS=	=lv	=lv				
nafsan	kori	0004	fam	eat:IR	v:pred	v		pred		
nafsan	kori	0004	nmatu	woman	np.h:p	np	h	p	104	new
nafsan	kori	0004	i=	3S.RS=	=rn	=rn				
nafsan	kori	0004	skei	one	rn_np	rn_np				
nafsan	kori	0004	#	#	##	##				
nafsan	kori	0004	me	but	other	other				
nafsan	kori	0004	nmatu	woman	np.h:s	np	h	s	104	
nafsan	kori	0004	nen	that	rn	rn				
nafsan	kori	0004	i=	3S.RS=	=lv	=lv				
nafsan	kori	0004	trau	really	lv	lv				
nafsan	kori	0004	fag	scabby	v:pred	v		pred		
nafsan	kori	0005	#	#	##	##				
nafsan	kori	0005	ZERO	ZERO	0.h:a	0	h	a	104	
nafsan	kori	0005	i=	3S.RS=	=lv	=lv				
nafsan	kori	0005	piatlak	have	v:predex	v		predex		
nafsan	kori	0005	nfag	sore	np:p	np		p	105	new
nafsan	kori	0005	nam̃ol-i	body-V	rn_np	rn_np				
nafsan	kori	0005	-n	-3S.DP	-rn_pro.h:poss	-rn_pro	h	poss	104	
nafsan	kori	0005	#	#	##	##				
nafsan	kori	0005	ZERO	ZERO	0.d:s_ds	0	d	s_ds	102	
nafsan	kori	0005	i=	3S.RS=	=lv	=lv				
nafsan	kori	0005	na	say	v:pred	v		pred		
nafsan	kori	0005	#	#	#ds	#ds				
nafsan	kori	0005	o	O	nc	nc				
nafsan	kori	0005	me	but	other	other				
nafsan	kori	0005	ag	2S.	pro.2:s	pro	2	s	104	
nafsan	kori	0005	ku=	2S.RS=	=lv	=lv				
nafsan	kori	0005	fag	scabby	v:pred	v		pred		
nafsan	kori	0005	#	#	##ds	##ds				
nafsan	kori	0005	ag	2S.	pro.2:s	pro	2	s	104	
nafsan	kori	0005	p̃a=	2S.IRS=	=lv	=lv				
nafsan	kori	0005	fo	PSP:IR	lv	lv				
nafsan	kori	0005	pi	be	cop	cop				
nafsan	kori	0005	temlaap	last	np:pred	np		pred	104	
nafsan	kori	0005	#	#	##ds	##ds				
nafsan	kori	0005	ZERO	ZERO	0.1:a	0	1	a	102	
nafsan	kori	0005	ka=	1S.IRS=	=lv	=lv				
nafsan	kori	0005	fei	lead:IR	lv	lv				
nafsan	kori	0005	pam	eat	v:pred	v		pred		
nafsan	kori	0005	te-nen	DET-that	np.h:p	np	h	p		
nafsan	kori	0005	#	#	#rc_rn	#rc_rn				
nafsan	kori	0005	kin	REL	other	other				
nafsan	kori	0005	ZERO	ZERO	0.1:a	0	1	a	102	
nafsan	kori	0005	a=	1S.RS=	=lv	=lv				
nafsan	kori	0005	lek-a	look-TS	v:pred	v		pred		
nafsan	kori	0005	na	DET	ln	ln				
nafsan	kori	0005	nasok-o	skin-V	np:dt_p	np		dt_p	106	new
nafsan	kori	0005	-n	-3S.DP	-rn_pro.h:poss	-rn_pro	h	poss		
nafsan	kori	0005	#	#	##ds	##ds				
nafsan	kori	0005	ZERO	ZERO	0:s	0		s	106	
nafsan	kori	0005	i=	3S.RS=	=lv	=lv				
nafsan	kori	0005	malmal	clean	v:pred	v		pred		
nafsan	kori	0005	wi	good	rv	rv				
nafsan	kori	0005	#	#	#ds_ac	#ds_ac				
nafsan	kori	0005	kin	SUB	other	other				
nafsan	kori	0005	me	and	other	other				
nafsan	kori	0005	ZERO	ZERO	0.1:a	0	1	a	102	
nafsan	kori	0005	ka=	1S.IRS=	=lv	=lv				
nafsan	kori	0005	fo	PSP:IR	lv	lv				
nafsan	kori	0005	inrok	behind	lv	lv				
nafsan	kori	0005	mai	come	lv	lv				
nafsan	kori	0005	pam-i	eat-TS	v:pred	v		pred		
nafsan	kori	0005	-k	-2S.O	-pro.2:p	-pro	2	p	104	
nafsan	kori	0006	#	#	##	##				
nafsan	kori	0006	me	but	other	other				
nafsan	kori	0006	nmatu	woman	np.h:s	np	h	s	104	
nafsan	kori	0006	nen	that	rn	rn				
nafsan	kori	0006	i=	3S.RS=	=lv	=lv				
nafsan	kori	0006	to	stay	v:pred	v		pred		
nafsan	kori	0006	#	#	##	##				
nafsan	kori	0006	ZERO	ZERO	0.h:s	0	h	s	104	
nafsan	kori	0006	i=	3S.RS=	=lv	=lv				
nafsan	kori	0006	to	stay	v:pred	v		pred		
nafsan	kori	0006	#	#	##	##				
nafsan	kori	0006	me	and	other	other				
nafsan	kori	0006	ZERO	ZERO	0.h:a	0	h	a	104	
nafsan	kori	0006	ki=	3S.PS=	=lv	=lv				
nafsan	kori	0006	pe	PF	lv	lv				
nafsan	kori	0006	mtak-ki	fear-TR	v:pred	v		pred		
nafsan	kori	0006	maarik	mister	ln	ln				
nafsan	kori	0006	ntwam	devil	np.d:p	np	d	p	102	
nafsan	kori	0006	ne	this	rn	rn				
nafsan	kori	0006	#	#	##	##				
nafsan	kori	0006	ZERO	ZERO	0.h:s	0	h	s	104	
nafsan	kori	0006	i=	3S.RS=	=lv	=lv				
