corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	lelep	0001	#	#	##	##				
nafsan	lelep	0001	me	and	other	other				
nafsan	lelep	0001	faat	stone	np:dt_p	np		dt_p	201	new
nafsan	lelep	0001	nen	that	rn	rn				
nafsan	lelep	0001	ga	3S.	pro.h:a	pro	h	a		
nafsan	lelep	0001	taos	like	lv	lv				
nafsan	lelep	0001	ru=	3P.RS=	=lv	=lv				
nafsan	lelep	0001	sos-o	call-TS	v:pred	v		pred		
nafsan	lelep	0001	ZERO	ZERO	0:p	0		p	201	
nafsan	lelep	0001	ki	PREP	adp	adp				
nafsan	lelep	0001	nana	HESIT	nc	nc				
nafsan	lelep	0001	faat	stone	nc	nc				
nafsan	lelep	0001	lelep	oven_stone	np:other	np		other	201	
nafsan	lelep	0001	a	confirm	nc	nc				
nafsan	lelep	0001	#	#	##	##				
nafsan	lelep	0001	te-nen	DET-that	np:s	np		s	201	
nafsan	lelep	0001	#	#	#rc:pred	#rc		pred		
nafsan	lelep	0001	kin	REL	other	other				
nafsan	lelep	0001	ZERO	ZERO	0.h:a	0	h	a	202	new
nafsan	lelep	0001	ru=	3P.RS=	=lv	=lv				
nafsan	lelep	0001	preg	make	v:pred	v		pred		
nafsan	lelep	0001	potut	altar	np:p	np		p	203	new
nafsan	lelep	0001	ki	PREP	adp	adp				
nafsan	lelep	0001	ZERO	ZERO	f0:obl	f0		obl		
nafsan	lelep	0001	#	#	##	##				
nafsan	lelep	0001	ZERO	ZERO	0.h:a	0	h	a	202	
nafsan	lelep	0001	ru=	3P.RS=	=lv	=lv				
nafsan	lelep	0001	tfag-i	build-TS	v:pred	v		pred		
nafsan	lelep	0001	ZERO	ZERO	0:p	0		p	203	
nafsan	lelep	0001	pak	to	adp	adp				
nafsan	lelep	0001	elag	high	np:l	np		l		
nafsan	lelep	0002	#	#	##	##				
nafsan	lelep	0002	faat	stone	np:s	np		s	204	new
nafsan	lelep	0002	p̃rakot	anyhow	rn	rn				
nafsan	lelep	0002	nen	that	rn	rn				
nafsan	lelep	0002	pato	be_at	v:pred	v		pred		
