corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	lisau	0001	#	#	##	##				
nafsan	lisau	0001	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0001	piatlak	have	v:predex	v		predex		
nafsan	lisau	0001	Etasrik	p.name	np.d:s	np	d	s	301	new
nafsan	lisau	0001	Ratison	p.name	rn_np	rn_np			302	new
nafsan	lisau	0001	#	#	##	##				
nafsan	lisau	0001	Etasrik	p.name	np.d:s	np	d	s	301	
nafsan	lisau	0001	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0001	piatlak	have	v:predex	v		predex		
nafsan	lisau	0001	mtulep	wife	np.h:p	np	h	p	303	new
nafsan	lisau	0001	i=	3S.RS=	=rn	=rn				
nafsan	lisau	0001	skei	one	rn_np	rn_np				
nafsan	lisau	0001	#	#	##	##				
nafsan	lisau	0001	ZERO	ZERO	0.h:s	0	h	s	303	
nafsan	lisau	0001	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0001	tok	stay	v:pred	v		pred		
nafsan	lisau	0001	-wes	-3S.OBL	-pro:l	-pro		l	301	
nafsan	lisau	0002	#	#	##	##				
nafsan	lisau	0002	ga	3S.	pro.d:s	pro	d	s	303	
nafsan	lisau	0002	me	and	other	other				
nafsan	lisau	0002	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0002	tok	stay	v:pred	v		pred		
nafsan	lisau	0002	-wes	-3S.OBL	-pro:l	-pro		l	301	
nafsan	lisau	0002	#	#	##	##				
nafsan	lisau	0002	nagi-e	name-V	np:s	np		s	304	new
nafsan	lisau	0002	-n	-3S.DP	-rn_pro.h:poss	-rn_pro	h	poss	303	
nafsan	lisau	0002	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0002	pi	be	cop	cop				
nafsan	lisau	0002	Lisau	p.name	np:pred	np		pred	304	
nafsan	lisau	0003	#	#	##	##				
nafsan	lisau	0003	ga	3S.	pro.d:a	pro	d	a	303	
nafsan	lisau	0003	me	and	other	other				
nafsan	lisau	0003	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0003	to	HABIT	lv	lv				
nafsan	lisau	0003	lekor	watch	v:pred	v		pred		
nafsan	lisau	0003	ga	3S.	pro:p	pro		p		
nafsan	lisau	0003	e-sa	LOC-here	np:l	np		l	301	
nafsan	lisau	0004	#	#	##	##				
nafsan	lisau	0004	ZERO	ZERO	0.d:s	0	d	s	305	bridging
nafsan	lisau	0004	ru=	3P.RS=	=lv	=lv				
nafsan	lisau	0004	pi	be	cop	cop				
nafsan	lisau	0004	natopu	spirit	np.d:pred	np	d	pred	305	
nafsan	lisau	0004	#	#	##	##				
nafsan	lisau	0004	me	but	other	other				
nafsan	lisau	0004	ZERO	ZERO	0.d:a	0	d	a	305	
nafsan	lisau	0004	ru=	3P.RS=	=lv	=lv				
nafsan	lisau	0004	tae	know	v:pred	v		pred		
nafsan	lisau	0004	nam̃er	people	np.h:p	np	h	p	306	new
nafsan	lisau	0004	#	#	##	##				
nafsan	lisau	0004	ZERO	ZERO	0.d:a	0	d	a	305	
nafsan	lisau	0004	ru=	3P.RS=	=lv	=lv				
nafsan	lisau	0004	tae	know	v:pred	v		pred		
nafsan	lisau	0004	natam̃ol	person	np.h:p	np	h	p	307	new
nafsan	lisau	0004	ni	of	rn	rn				
nafsan	lisau	0004	natokon	village	rn_np:poss	rn_np		poss	308	new
nafsan	lisau	0004	#	#	##	##				
nafsan	lisau	0004	ZERO	ZERO	0.d:a	0	d	a	305	
nafsan	lisau	0004	lekor	watch	v:pred	v		pred		
nafsan	lisau	0004	pta-ki	make.good-TR	rv	rv				
nafsan	lisau	0004	natam̃ol	person	np.h:p	np	h	p	307	
nafsan	lisau	0005	#	#	##	##				
nafsan	lisau	0005	te-nen	DET-that	np.h:dt	np	h	dt	309	bridging
nafsan	lisau	0005	#	#	#rc_rn	#rc_rn				
nafsan	lisau	0005	kin	REL	other	other				
nafsan	lisau	0005	ZERO	ZERO	f0.h:a	f0	h	a	309	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	preg	make	v:pred	v		pred		
nafsan	lisau	0005	te-namrun	DET-something	np:p	np		p	310	new
nafsan	lisau	0005	%	%	#rc_rn	#rc_rn				
nafsan	lisau	0005	ZERO	ZERO	f0.h:s	f0	h	s	309	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	takel	crooked	v:pred	v		pred		
nafsan	lisau	0005	#	#	%	%				
nafsan	lisau	0005	ZERO	ZERO	0.h:a	0	h	a	307	
nafsan	lisau	0005	ke=	3S.IRS=	=lv	=lv				
nafsan	lisau	0005	fo	PSP.IR	lv	lv				
nafsan	lisau	0005	pei-ki	lead-TR	v:pred	v		pred		
nafsan	lisau	0005	-n	-3S.O	-pro.d:p	-pro	d	p	310	
nafsan	lisau	0005	#	#	#cc	#cc				
nafsan	lisau	0005	kin	COMP	other	other				
nafsan	lisau	0005	tefla	similar	other	other				
nafsan	lisau	0005	=n	=DST	=other	=other				
nafsan	lisau	0005	kin	COMP	other	other				
nafsan	lisau	0005	ZERO	ZERO	0.h:a	0	h	a	309	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	tae	know	v:pred	v		pred		
nafsan	lisau	0005	#	#	#cc:p	#cc		p		
nafsan	lisau	0005	na	COMP	other	other				
nafsan	lisau	0005	ZERO	ZERO	0.h:a	0	h	a	309	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	preg	make	v:pred	v		pred		
nafsan	lisau	0005	namrun	something	np:p	np		p	310	
nafsan	lisau	0005	#	#	#rc_rn	#rc_rn				
nafsan	lisau	0005	ZERO	ZERO	0:s	0		s	310	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	takel	crooked	v:pred	v		pred		
nafsan	lisau	0005	#	#	##	##				
nafsan	lisau	0005	ZERO	ZERO	0.d:a	0	d	a	305	
nafsan	lisau	0005	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0005	pei-ki	show-TR	v:pred	v		pred		
nafsan	lisau	0005	-n	-3S.O	-pro.d:p	-pro	d	p	303	
nafsan	lisau	0005	ki	PREP	adp	adp				
nafsan	lisau	0005	ZERO	ZERO	0:obl	0		obl		
nafsan	lisau	0006	#	#	##	##				
nafsan	lisau	0006	go	and	other	other				
nafsan	lisau	0006	natam̃ol	person	np.h:a	np	h	a	311	bridging
nafsan	lisau	0006	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0006	to	PROG	lv	lv				
nafsan	lisau	0006	mrotae	recognise	v:pred	v		pred		
nafsan	lisau	0006	#	#	#cc.neg:p	#cc.neg		p		
nafsan	lisau	0006	na	COMP	other	other				
nafsan	lisau	0006	te-nen	DET-that	np:s	np		s		
nafsan	lisau	0006	#	#	#rc_rn	#rc_rn				
nafsan	lisau	0006	kin	REL	other	other				
nafsan	lisau	0006	ZERO	ZERO	0.h:a	0	h	a	311	
nafsan	lisau	0006	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0006	preg-i	make-TS	v:pred	v		pred		
nafsan	lisau	0006	ZERO	ZERO	0:p	0		p		
nafsan	lisau	0006	%	%	%	%				
nafsan	lisau	0006	i=	3S.RS=	=lv	=lv				
nafsan	lisau	0006	ta	not	other	other				
nafsan	lisau	0006	wi	good	v:pred	v		pred		
nafsan	lisau	0006	mau	NEG2	other	other				
nafsan	lisau	0007	[AUD]	[AUD]	[AUD]	[AUD]				
nafsan	lisau	0007	#	#	#nc	#nc				
nafsan	lisau	0007	me	but	nc	nc				
nafsan	lisau	0007	i=	3S.RS=	nc	nc				
nafsan	lisau	0007	piatlak	have	nc	nc				
nafsan	lisau	0007	natam̃ol	person	nc_np.h	nc_np	h		306	
nafsan	lisau	0007	#	#	#nc	#nc				
nafsan	lisau	0007	nen	REL	nc	nc				
nafsan	lisau	0007	ZERO	ZERO	nc_0.h	nc_0	h		306	
nafsan	lisau	0007	ru=	3P.RS=	nc	nc				
nafsan	lisau	0007	tup-e	give-TS	nc	nc				
nafsan	lisau	0007	-r	-3P.O	-nc_pro.d	-nc_pro	d		305	
nafsan	lisau	0007	tete	some	nc	nc				
nafsan	lisau	0007	nanromien	present	nc_np	nc_np			312	new
nafsan	lisau	0008	#	#	#nc	#nc				
nafsan	lisau	0008	ore	yes	nc	nc				
nafsan	lisau	0008	ore	yes	nc	nc				
nafsan	lisau	0008	wel	like	nc	nc				
nafsan	lisau	0008	na-mro-an	NR-think-NR	nc	nc				
nafsan	lisau	0008	sa	bad	nc	nc				
nafsan	lisau	0008	ni	of	nc	nc				
nafsan	lisau	0008	natam̃ol	person	nc	nc				
nafsan	lisau	0008	natam̃ol	person	nc	nc				
nafsan	lisau	0008	#	#	##	##				
nafsan	lisau	0008	ZERO	ZERO	0.h:a	0	h	a	311	
