corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	litog	0001	#	#	#nc	#nc				
nafsan	litog	0001	ore	yes	nc	nc				
nafsan	litog	0001	ZERO	ZERO	nc	nc				
nafsan	litog	0001	i=	3S.RS=	nc	nc				
nafsan	litog	0001	piatlak	have	nc	nc				
nafsan	litog	0001	natopu	spirit	nc	nc				
nafsan	litog	0001	nigmam	1P.POS	nc	nc				
nafsan	litog	0001	ni	of	nc	nc				
nafsan	litog	0001	e-sa	LOC-here	nc	nc				
nafsan	litog	0001	#	#	#nc	#nc				
nafsan	litog	0001	naat	someone	nc	nc				
nafsan	litog	0001	ki=	3S.PS=	nc	nc				
nafsan	litog	0001	pe	PF	nc	nc				
nafsan	litog	0001	gaag	2S.BEN	nc	nc				
nafsan	litog	0001	traus-i	tell-TR	nc	nc				
nafsan	litog	0002	#	#	#nc	#nc				
nafsan	litog	0002	ZERO	ZERO	nc	nc				
nafsan	litog	0002	sees	small	nc	nc				
nafsan	litog	0002	m̃as	only	nc	nc				
nafsan	litog	0003	#	#	##	##				
nafsan	litog	0003	nigmam	HES	nc	nc				
nafsan	litog	0003	natopu	spirit	np.d:s	np	d	s	401	new
nafsan	litog	0003	nigmam	1P.POS	rn_pro.1:poss	rn_pro	1	poss	402	new
nafsan	litog	0003	ni	of	rn	rn				
nafsan	litog	0003	esa	here	rn_np:poss	rn_np		poss	403	new
nafsan	litog	0003	ga	3S.	pro.d:s	pro	d	s	401	
nafsan	litog	0003	#	#	#rc_rn	#rc_rn				
nafsan	litog	0003	kin	REL	other	other				
nafsan	litog	0003	ZERO	ZERO	f0.d:s	f0	d	s	401	
nafsan	litog	0003	i=	3S.RS=	=lv	=lv				
nafsan	litog	0003	to	stay	v:pred	v		pred		
nafsan	litog	0003	%	%	%	%				
nafsan	litog	0003	ZERO	ZERO	0.d:s	0	d	s	401	
nafsan	litog	0003	i=	3S.RS=	=lv	=lv				
nafsan	litog	0003	to	stay	v:pred	v		pred		
nafsan	litog	0003	#	#	##	##				
nafsan	litog	0003	ZERO	ZERO	0.d:s	0	d	s	401	
nafsan	litog	0003	i=	3S.RS=	=lv	=lv				
nafsan	litog	0003	to	HAB	lv	lv				
nafsan	litog	0003	pan	go	v:pred	v		pred		
nafsan	litog	0003	#	#	##	##				
nafsan	litog	0003	ZERO	ZERO	0.d:s	0	d	s	401	
nafsan	litog	0003	i=	3S.RS=	=lv	=lv				
nafsan	litog	0003	to	stay	v:pred	v		pred		
nafsan	litog	0003	teetwei	before	np:other	np		other		
nafsan	litog	0003	paakor	arrive	rn	rn				
nafsan	litog	0003	mees	today	rn_np	rn_np				
nafsan	litog	0004	#	#	##	##				
nafsan	litog	0004	me	but	other	other				
nafsan	litog	0004	ZERO	ZERO	0.d:s	0	d	s	401	
