corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	maal	0001	#	#	##	##				
nafsan	maal	0001	naliati	day	np:other	np		other		
nafsan	maal	0001	i=	3S.RS=	=rn	=rn				
nafsan	maal	0001	skei	one	rn	rn				
nafsan	maal	0001	maal	hawk	np.d:s	np	d	s	501	new
nafsan	maal	0001	ru=	3P.RS=	nc	nc				
nafsan	maal	0001	to	PROG	nc	nc				
nafsan	maal	0001	ru=	3P.RS=	=lv	=lv				
nafsan	maal	0001	to	PROG	lv	lv				
nafsan	maal	0001	puserek	talk	v:pred	v		pred		
nafsan	maal	0002	panpan	until	other	other				
nafsan	maal	0002	#	#	##	##				
nafsan	maal	0002	go	and	other	other				
nafsan	maal	0002	ZERO	ZERO	0.d:a	0	d	a	501	
nafsan	maal	0002	ru=	3P.RS=	=lv	=lv				
nafsan	maal	0002	tm	REFL	lv	lv				
nafsan	maal	0002	-r	-3P.DP	-rn_pro:poss	-rn_pro		poss	501	
nafsan	maal	0002	nrik-i	tell-TS	v:pred	v		pred		
nafsan	maal	0002	-r	-3P.O	-pro:p	-pro		p	501	
nafsan	maal	0002	ki	PREP	other	other				
nafsan	maal	0002	na	say	other	other				
nafsan	maal	0002	#	#	##	##				
nafsan	maal	0002	maal	hawk	np.d:s_ds	np	d	s_ds	502	bridging
nafsan	maal	0002	i=	3S.RS=	=lv	=lv				
nafsan	maal	0002	til-i	say-TS	v:pred	v		pred		
nafsan	maal	0002	#	#	#ds	#ds				
nafsan	maal	0002	na	SUB	other	other				
nafsan	maal	0002	neu	1S.	pro.1:a	pro	1	a	502	
nafsan	maal	0002	a=	1S.RS=	=lv	=lv				
nafsan	maal	0002	piatlak	have	v:predex	v		predex		
nafsan	maal	0002	nalkis	herbs	np:p	np		p	503	new
nafsan	maal	0002	i=	3S.RS=	=rn	=rn				
nafsan	maal	0002	skei	one	rn	rn				
nafsan	maal	0002	#	#	##	##				
nafsan	maal	0002	ZERO	ZERO	0.1:a	0	1	a	502	
nafsan	maal	0002	a=	1S.RS=	=lv	=lv				
nafsan	maal	0002	min-gi	drink-TR	v:pred	v		pred		
nafsan	maal	0002	ZERO	ZERO	0:p	0		p	503	
nafsan	maal	0002	#	#	##	##				
nafsan	maal	0002	go	and	other	other				
nafsan	maal	0002	ZERO	ZERO	0.1:s	0	1	s	502	
nafsan	maal	0002	a=	1S.RS=	=lv	=lv				
nafsan	maal	0002	tae	know	v:pred	v		pred		
nafsan	maal	0002	nrir	fly	rv	rv				
nafsan	maal	0002	pak	to	adp	adp				
nafsan	maal	0002	elag	high	np:g	np		g	504	new
nafsan	maal	0003	#	#	##	##				
nafsan	maal	0003	go	and	other	other				
nafsan	maal	0003	sokfal	owl	np.d:a	np	d	a	505	new
nafsan	maal	0003	i=	3S.RS=	=lv	=lv				
nafsan	maal	0003	nrik	tell	v:pred	v		pred		
nafsan	maal	0003	maal	hawk	np:p	np		p	502	
nafsan	maal	0003	ki	PREP	adp	adp				
