corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	nmatu	0001	#	#	##	##				
nafsan	nmatu	0001	ZERO	ZERO	0.1:a	0	1	a		
nafsan	nmatu	0001	a=	1S.RS=	=lv	=lv				
nafsan	nmatu	0001	mur-i	want-TS	v:pred	v		pred		
nafsan	nmatu	0001	-n	-3S.O	-pro:p	-pro		p		
nafsan	nmatu	0001	#	#	#cc	#cc				
nafsan	nmatu	0001	na	COMP	other	other				
nafsan	nmatu	0001	ZERO	ZERO	0.1:a	0	1	a		
nafsan	nmatu	0001	ka=	1S.IRS=	=lv	=lv				
nafsan	nmatu	0001	traus-i	tell-TS	v:pred	v		pred		
nafsan	nmatu	0001	te-natrauswen	DET-story	np:p	np		p	601	new
nafsan	nmatu	0001	ni	of	rn	rn				
nafsan	nmatu	0001	maarik	mister	rn	rn				
nafsan	nmatu	0001	Wili	PN	rn_np.h:poss	rn_np	h	poss	602	new
nafsan	nmatu	0001	Santo	PN	rn_np	rn_np				
nafsan	nmatu	0001	#	#	##	##				
nafsan	nmatu	0001	ZERO	ZERO	0.h:a	0	h	a	602	
nafsan	nmatu	0001	i=	3S.RS=	=lv	=lv				
nafsan	nmatu	0001	neu	1S.BEN	lv_pro.1:g	lv_pro	1	g		
nafsan	nmatu	0001	traus-i	tell-TS	v:pred	v		pred		
nafsan	nmatu	0001	ZERO	ZERO	0:p	0		p	601	
nafsan	nmatu	0001	teetwei	before	other	other				
nafsan	nmatu	0002	#	#	##	##				
nafsan	nmatu	0002	ZERO	ZERO	0:a	0		a	601	
nafsan	nmatu	0002	i=	3S.RS=	=lv	=lv				
nafsan	nmatu	0002	til	say	v:pred	v		pred		
nafsan	nmatu	0002	natam̃ol	person	np.h:p	np	h	p	603	bridging
nafsan	nmatu	0002	ni	of	rn	rn				
nafsan	nmatu	0002	Ermag	PN	rn_np:poss	rn_np		poss	604	new
nafsan	nmatu	0002	i=	3S.RS=	=rn	=rn				
nafsan	nmatu	0002	nru	two	rn_np	rn_np				
nafsan	nmatu	0003	#	#	##	##				
nafsan	nmatu	0003	kaaru	other	np.h:a	np	h	a	602	
nafsan	nmatu	0003	i=	3S.RS=	=lv	=lv				
nafsan	nmatu	0003	piatlak	have	v:predex	v		predex		
nafsan	nmatu	0003	nmatu	wife	np.h:p	np	h	p	606	new
nafsan	nmatu	0003	#	#	#ac	#ac				
nafsan	nmatu	0003	selwan	while	other	other				
nafsan	nmatu	0003	ZERO	ZERO	0.h:s	0	h	s	607	bridging
nafsan	nmatu	0003	ra=	3D.RS=	=lv	=lv				
nafsan	nmatu	0003	lak	marry	v:pred	v		pred		
nafsan	nmatu	0003	#	#	##neg	##neg				
nafsan	nmatu	0003	ZERO	ZERO	0.h:s	0	h	s	607	
nafsan	nmatu	0003	ra=	3D.RS=	=lv	=lv				
nafsan	nmatu	0003	tap	not	lv	lv				
nafsan	nmatu	0003	mer	again	aux	aux				
nafsan	nmatu	0003	tao	leave	v:pred	v		pred		
nafsan	nmatu	0003	mau	NEG2	rv	rv				
nafsan	nmatu	0004	#	#	##	##				
nafsan	nmatu	0004	ZERO	ZERO	0.h:s	0	h	s	607	
nafsan	nmatu	0004	ra=	3D.RS=	=lv	=lv				
nafsan	nmatu	0004	to	stay	v:pred	v		pred		
nafsan	nmatu	0004	panpan	until	adp	adp				
nafsan	nmatu	0004	go	AD	ln	ln				
nafsan	nmatu	0004	naliati	day	np:other	np		other	608	new
nafsan	nmatu	0004	i=	3S.RS=	=rn	=rn				
nafsan	nmatu	0004	skei	one	rn_np	rn_np				
