corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	ntwam	0001	#	#	##	##				
nafsan	ntwam	0001	nrak	time	np:other	np		other		
nafsan	ntwam	0001	i=	3S.RS=	=rn	=rn				
nafsan	ntwam	0001	skei	one	rn_np	rn_np				
nafsan	ntwam	0001	i=	3S.RS=	=lv	=lv				
nafsan	ntwam	0001	piatlak	have	v:predex	v		predex		
nafsan	ntwam	0001	apu	grandfather	ln_np.h	ln_np	h		701	new
nafsan	ntwam	0001	go	and	ln	ln				
nafsan	ntwam	0001	ati	grandmother	np.h:s	np	h	s	702	new
nafsan	ntwam	0001	i=	3S.RS=	=rn	=rn				
nafsan	ntwam	0001	skei	one	rn_np	rn_np				
nafsan	ntwam	0001	#	#	##	##				
nafsan	ntwam	0001	ZERO	ZERO	0.h:s	0	h	s	703	bridging
nafsan	ntwam	0001	ra=	3D.RS=	=lv	=lv				
nafsan	ntwam	0001	tok	stay	v:pred	v		pred		
nafsan	ntwam	0002	#	#	##	##				
nafsan	ntwam	0002	ZERO	ZERO	0.h:a	0	h	a	703	
nafsan	ntwam	0002	ra=	3D.RS=	=lv	=lv				
nafsan	ntwam	0002	preg	make	v:pred	v		pred		
nafsan	ntwam	0002	nasum̃	house	np:p	np		p	704	new
nafsan	ntwam	0002	gar	3P.POS	rn_pro.h:poss	rn_pro	h	poss	703	
nafsan	ntwam	0002	#	#	##	##				
nafsan	ntwam	0002	ZERO	ZERO	0:s	0		s	704	
nafsan	ntwam	0002	i=	3S.RS=	=lv	=lv				
nafsan	ntwam	0002	tok	stay	v:pred	v		pred		
nafsan	ntwam	0002	em̃ae	distant	rv	rv				
nafsan	ntwam	0002	ki	PREP	adp	adp				
nafsan	ntwam	0002	talm̃at	garden	np:l	np		l	705	bridging
nafsan	ntwam	0003	#	#	##	##				
nafsan	ntwam	0003	ZERO	ZERO	0.h:s	0	h	s	703	
nafsan	ntwam	0003	ra=	3D.RS=	=lv	=lv				
nafsan	ntwam	0003	tok	stay	v:pred	v		pred		
nafsan	ntwam	0003	panpan	until	adp	adp				
nafsan	ntwam	0003	nrak	time	np:other	np		other		
nafsan	ntwam	0003	i=	3S.RS=	=rn	=rn				
nafsan	ntwam	0003	skei	one	rn_np	rn_np				
nafsan	ntwam	0003	#	#	##	##				
nafsan	ntwam	0003	ZERO	ZERO	0.h:a	0	h	a	703	
nafsan	ntwam	0003	ra=	1D.exRS=	=lv	=lv				
nafsan	ntwam	0003	na	want	v:pred	v		pred		
nafsan	ntwam	0003	#	#	#cc:p	#cc		p		
nafsan	ntwam	0003	ZERO	ZERO	0.h:s	0	h	s	703	
nafsan	ntwam	0003	rak=	3D.IRS=	=lv	=lv				
nafsan	ntwam	0003	fak	go_to	v:pred	v		pred		
nafsan	ntwam	0003	talm̃at	garden	np:g	np		g	705	
nafsan	ntwam	0003	gar	3P.POS	rn_pro.h:poss	rn_pro	h	poss	703	
nafsan	ntwam	0004	#	#	##	##				
nafsan	ntwam	0004	ZERO	ZERO	0.h:a	0	h	a	703	
nafsan	ntwam	0004	ra=	3D.RS=	=lv	=lv				
nafsan	ntwam	0004	slat	take	v:pred	v		pred		
