corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	taapes	0001	#	#	##	##				
nafsan	taapes	0001	too	fowl	ln_np.d	ln_np	d		801	new
nafsan	taapes	0001	go	and	ln	ln				
nafsan	taapes	0001	taap̃es	swamphen	np.d:a	np	d	a	802	new
nafsan	taapes	0001	ra=	3D.RS=	nc	nc				
nafsan	taapes	0001	piatlak	have	nc	nc				
nafsan	taapes	0001	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0001	tme	RECP	lv	lv				
nafsan	taapes	0001	-r	-3P.DP	-rn_pro.d:poss	-rn_pro	d	poss		
nafsan	taapes	0001	pi-asel-ki	be.friend-TR	v:pred	v		pred		
nafsan	taapes	0001	-r	-3P.O	-pro.d:p	-pro	d	p	803	bridging
nafsan	taapes	0001	#	#	##	##				
nafsan	taapes	0001	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0001	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0001	to	stay	lv	lv				
nafsan	taapes	0001	ur	along	v:pred	v		pred		
nafsan	taapes	0001	naor	place	np:l	np		l		
nafsan	taapes	0001	i=	3S.RS=	=rn	=rn				
nafsan	taapes	0001	skei	one	rn_np	rn_np				
nafsan	taapes	0002	#	#	##	##				
nafsan	taapes	0002	me	and	other	other				
nafsan	taapes	0002	nrak	time	np:other	np		other	804	new
nafsan	taapes	0002	i=	3S.RS=	=rn	=rn				
nafsan	taapes	0002	skei	one	rn_np	rn_np				
nafsan	taapes	0002	go	and	other	other				
nafsan	taapes	0002	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0002	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0002	til-i	say-TS	v:pred	v		pred		
nafsan	taapes	0002	#	#	#cc	#cc				
nafsan	taapes	0002	na	SUB	other	other				
nafsan	taapes	0002	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0002	rak=	3D.IRS=	=lv	=lv				
nafsan	taapes	0002	fan	go.IR	lv	lv				
nafsan	taapes	0002	los	swim	v:pred	v		pred		
nafsan	taapes	0003	#	#	##	##				
nafsan	taapes	0003	kotfan	afternoon	np:other	np		other	804	
nafsan	taapes	0003	nrak	time	rn_np	rn_np				
nafsan	taapes	0003	i=	3S.RS=	=rn	=rn				
nafsan	taapes	0003	skei	one	rn_np	rn_np				
nafsan	taapes	0003	go	and	other	other				
nafsan	taapes	0003	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0003	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0003	til-i	say-TS	v:pred	v		pred		
nafsan	taapes	0003	#	#	#cc	#cc				
nafsan	taapes	0003	na	SUB	other	other				
nafsan	taapes	0003	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0003	rak=	3D.IRS=	=lv	=lv				
nafsan	taapes	0003	fan	go.IR	lv	lv				
nafsan	taapes	0003	los	swim	v:pred	v		pred		
nafsan	taapes	0003	elau	sea	np:l	np		l	805	unused
nafsan	taapes	0004	#	#	##	##				
nafsan	taapes	0004	ale	okay	nc	nc				
nafsan	taapes	0004	ZERO	ZERO	0.d:a	0	d	a	803	
nafsan	taapes	0004	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0004	na	want	v:pred	v		pred		
nafsan	taapes	0004	#	#	#cc:p	#cc		p		
nafsan	taapes	0004	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0004	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0004	to	stay	v:pred	v		pred		
nafsan	taapes	0004	#	#	#	#				
nafsan	taapes	0004	ZERO	ZERO	0.d:s	0	d	s	803	
nafsan	taapes	0004	ra=	3D.RS=	=lv	=lv				
nafsan	taapes	0004	pan	go	lv	lv				
nafsan	taapes	0004	los	wash	v:pred	v		pred		
nafsan	taapes	0004	elau	sea	np:l	np		l	805	
