corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nafsan	tafra	0001	#	#	##	##				
nafsan	tafra	0001	#	#	#ac	#ac				
nafsan	tafra	0001	selwan	while	other	other				
nafsan	tafra	0001	ZERO	ZERO	0.1:a	0	1	a	901	new
nafsan	tafra	0001	tu=	1P.inRS=	=lv	=lv				
nafsan	tafra	0001	paakor	arrive	v:pred	v		pred		
nafsan	tafra	0001	nametp̃ag	end	np:p	np		p	902	new
nafsan	tafra	0001	ntau	year	rn_np	rn_np			903	new
nafsan	tafra	0001	%	%	%	%				
nafsan	tafra	0001	ZERO	ZERO	0.1:a	0	1	a	904	bridging
nafsan	tafra	0001	ra=	1D.exRS=	=lv	=lv				
nafsan	tafra	0001	to	HABIT	lv	lv				
nafsan	tafra	0001	tu	give	v:pred	v		pred		
nafsan	tafra	0001	teesa	child	np.h:p	np	h	p	905	new
nafsan	tafra	0001	tete	some	ln	ln				
nafsan	tafra	0001	nanromien	present	np:p2	np		p2	906	new
nafsan	tafra	0001	#	#	##	##				
nafsan	tafra	0001	ZERO	ZERO	0.h:s	0	h	s	905	
nafsan	tafra	0001	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0001	to	stay	v:pred	v		pred		
nafsan	tafra	0001	ni	with	adp	adp				
nafsan	tafra	0001	apu	grandfather	ln_np.h	ln_np	h		907	new
nafsan	tafra	0001	go	and	ln	ln				
nafsan	tafra	0001	atien	grandmother	np.h:obl	np	h	obl	908	new
nafsan	tafra	0001	negar	3P.POS	rn_pro.h:poss	rn_pro	h	poss	905	
nafsan	tafra	0001	-wes	-3SG.OBL	-rn	-rn				
nafsan	tafra	0001	#	#	##	##				
nafsan	tafra	0001	nanromien	present	np:dt_p	np		dt_p	906	
nafsan	tafra	0001	sees	small	rn	rn				
nafsan	tafra	0001	ZERO	ZERO	0.h:a	0	h	a	905	
nafsan	tafra	0001	pan	go	lv	lv				
nafsan	tafra	0001	tu-e	give-TS	v:pred	v		pred		
nafsan	tafra	0001	-r	-3P.O	-pro.h:p	-pro	h	p	909	bridging
nafsan	tafra	0001	ki	PREP	adp	adp				
nafsan	tafra	0001	-n	-DST	-pro:obl	-pro		obl		
nafsan	tafra	0001	Ertap	Eratap	pn_pn_np:other	pn_pn_np		other	910	new
nafsan	tafra	0002	#	#	##	##				
nafsan	tafra	0002	ntau	year	np:other	np		other	903	
nafsan	tafra	0002	1956	1956	rn_np	rn_np			912	new
nafsan	tafra	0002	komam	1P.ex	pro.1:a	pro	1	a	904	
nafsan	tafra	0002	ra=	1D.RS=	=lv	=lv				
nafsan	tafra	0002	mer	again	lv	lv				
nafsan	tafra	0002	tu-e	give-TR	v:pred	v		pred		
nafsan	tafra	0002	-r	-3P.O	-pro.h:p	-pro	h	p	905	
nafsan	tafra	0002	tete	some	ln	ln				
nafsan	tafra	0002	nanromien	present	np:p2	np		p2	906	
nafsan	tafra	0002	sees	small	rn	rn				
nafsan	tafra	0002	#	#	##	##				
nafsan	tafra	0002	ZERO	ZERO	0.h:a	0	h	a	905	
nafsan	tafra	0002	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0002	mer	again	lv	lv				
nafsan	tafra	0002	negar	3P.BEN	lv_pro.h:g	lv_pro	h	g	909	
nafsan	tafra	0002	wes-i	take-TS	v:pred	v		pred		
nafsan	tafra	0002	ZERO	ZERO	0:p	0		p	906	
nafsan	tafra	0002	#	#	##	##				
nafsan	tafra	0002	ZERO	ZERO	0.h:a	0	h	a	905	
nafsan	tafra	0002	pan	go	lv	lv				
nafsan	tafra	0002	tu-e	give-TS	v:pred	v		pred		
nafsan	tafra	0002	-r	-3P.O	-pro.h:p	-pro	h	p	909	
nafsan	tafra	0002	ki	PREP	adp	adp				
nafsan	tafra	0002	-n	-3S.O	-pro:obl	-pro		obl		
nafsan	tafra	0003	#	#	##	##				
nafsan	tafra	0003	apu	grandfather	ln_np.h	ln_np	h		913	new
nafsan	tafra	0003	ni	of	ln	ln				
nafsan	tafra	0003	Elaknar	p.name	ln_pn_np:poss	ln_pn_np		poss	914	new
nafsan	tafra	0003	go	and	ln	ln				
nafsan	tafra	0003	apu	grandfather	np.h:a	np	h	a	915	new
nafsan	tafra	0003	nig	of	rn	rn				
nafsan	tafra	0003	Elaau	p.name	rn_pn_np:poss	rn_pn_np		poss	916	new
nafsan	tafra	0003	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0003	pan	go	lv	lv				
nafsan	tafra	0003	tu-e	give-TS	v:pred	v		pred		
nafsan	tafra	0003	-r	-3P.O	-pro.h:p	-pro	h	p	905	
nafsan	tafra	0003	ki	PREP	adp	adp				
nafsan	tafra	0003	-n	-3S.O	-pro:obl	-pro		obl		
nafsan	tafra	0003	#	#	##	##				
nafsan	tafra	0003	kai=	ES=	=lv	=lv				
nafsan	tafra	0003	ler	return	lv	lv				
nafsan	tafra	0003	mai	come	v:pred	v		pred		
nafsan	tafra	0003	#	#	#nc	#nc				
nafsan	tafra	0003	u=	2P.RS=	nc	nc				
nafsan	tafra	0003	tu	stay	nc	nc				
nafsan	tafra	0004	#	#	##	##				
nafsan	tafra	0004	me	and	other	other				
nafsan	tafra	0004	ZERO	ZERO	0.2:a	0	2	a		
nafsan	tafra	0004	u=	2P.RS=	=lv	=lv				
nafsan	tafra	0004	tol	pass	v:pred	v		pred		
nafsan	tafra	0004	Janweri	p.name	pn_np:p	pn_np		p	917	new
nafsan	tafra	0004	#	#	##	##				
nafsan	tafra	0004	go	and	other	other				
nafsan	tafra	0004	komam	1P.ex	pro.1:a	pro	1	a	904	
nafsan	tafra	0004	Limaas	p.name	rn_pn_np.h	rn_pn_np	h		918	new
nafsan	tafra	0004	ra=	1D.exRS=	=lv	=lv				
nafsan	tafra	0004	mer	again	lv	lv				
nafsan	tafra	0004	na	want	v:pred	v		pred		
nafsan	tafra	0004	#	#	#cc:p	#cc		p		
nafsan	tafra	0004	ZERO	ZERO	0.1:a	0	1	a	919	bridging
nafsan	tafra	0004	rak=	1D.IRS=	=lv	=lv				
nafsan	tafra	0004	fan	go:IR	lv	lv				
nafsan	tafra	0004	saof-i	visit-TS	v:pred	v		pred		
nafsan	tafra	0004	-r	-3P.O	-pro.h:p	-pro	h	p	920	bridging
nafsan	tafra	0005	#	#	##	##				
nafsan	tafra	0005	Pastor	pastor	ln	ln				
nafsan	tafra	0005	Kalagis	p.name	pn_np.h	pn_np	h		921	new
nafsan	tafra	0005	i=	3S.RS=	=lv	=lv				
nafsan	tafra	0005	mur-i	want-TS	v:pred	v		pred		
nafsan	tafra	0005	-n	-3S.O	-pro:p	-pro		p		
nafsan	tafra	0005	#	#	#cc	#cc				
nafsan	tafra	0005	na	COMP	other	other				
nafsan	tafra	0005	komam	1P.ex	pro.1:a	pro	1	a	904	
nafsan	tafra	0005	ko=	1P.exIRS=	=lv	=lv				
nafsan	tafra	0005	mau	all	lv	lv				
nafsan	tafra	0005	pak	go_to	v:pred	v		pred		
nafsan	tafra	0005	Ertap	Eratap	pn_np:p	pn_np		p	910	
nafsan	tafra	0006	#	#	##	##				
nafsan	tafra	0006	ZERO	ZERO	0.1:a	0	1	a	904	
nafsan	tafra	0006	u=	1P.exRS=	=lv	=lv				
nafsan	tafra	0006	pan	go	lv	lv				
nafsan	tafra	0006	paakor	arrive	v:pred	v		pred		
nafsan	tafra	0006	Elaknar	p.name	pn_np:p	pn_np		p	914	
nafsan	tafra	0006	#	#	##	##				
nafsan	tafra	0006	go	and	other	other				
nafsan	tafra	0006	tata	father	np.h:s	np	h	s	923	new
nafsan	tafra	0006	Sailas	p.name	rn_pn_np	rn_pn_np			924	new
nafsan	tafra	0006	i=	3S.RS=	=lv	=lv				
nafsan	tafra	0006	to	stay	v:pred	v		pred		
nafsan	tafra	0006	e-sum̃	LOC-house	np:l	np		l	925	new
nafsan	tafra	0006	nega	3S.POS	rn_pro.h:poss	rn_pro	h	poss	923	
nafsan	tafra	0006	to	at	rn	rn				
nafsan	tafra	0006	#	#	#ac	#ac				
nafsan	tafra	0006	selwan	while	other	other				
nafsan	tafra	0006	ZERO	ZERO	0.h:a	0	h	a	923	
nafsan	tafra	0006	i=	3S.RS=	=lv	=lv				
nafsan	tafra	0006	lek	look	v:pred	v		pred		
nafsan	tafra	0006	mam	1pl	pro.1:p	pro	1	p		
nafsan	tafra	0007	#	#	##	##				
nafsan	tafra	0007	go	and	other	other				
nafsan	tafra	0007	ZERO	ZERO	0.h:s_ds	0	h	s_ds	923	
nafsan	tafra	0007	i=	3S.RS=	=lv	=lv				
nafsan	tafra	0007	na	say	v:pred	v		pred		
nafsan	tafra	0007	#	#	#ds	#ds				
nafsan	tafra	0007	Webe	p.name	pn_np.h:other	pn_np	h	other	926	new
nafsan	tafra	0007	naik	fish	np:s	np		s	927	new
nafsan	tafra	0007	seserik	small	rn	rn				
nafsan	tafra	0007	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0007	mai	come	v:pred	v		pred		
nafsan	tafra	0007	#	#	##	##				
nafsan	tafra	0007	kai=	ES=	=lv	=lv				
nafsan	tafra	0007	fam-lu	eat-fully	v:pred	v		pred		
nafsan	tafra	0007	nafnag	food	np:p	np		p	928	new
nafsan	tafra	0007	wi	good	rn	rn				
nafsan	tafra	0007	pan	go	other	other				
nafsan	tafra	0008	#	#	##	##				
nafsan	tafra	0008	me	and	other	other				
nafsan	tafra	0008	tafra	whale	np:s	np		s	929	new
nafsan	tafra	0008	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0008	po	PSP	lv	lv				
nafsan	tafra	0008	inrok	behind	lv	lv				
nafsan	tafra	0008	mai	come	v:pred	v		pred		
nafsan	tafra	0009	#	#	##	##				
nafsan	tafra	0009	tafra	whale	np:a	np		a	929	
nafsan	tafra	0009	ruk=	3P.IRS=	=lv	=lv				
nafsan	tafra	0009	fam	eat:IR	v:pred	v		pred		
nafsan	tafra	0009	faat	stone	np:p	np		p	930	new
nafsan	tafra	0009	nen	that	rn	rn				
nafsan	tafra	0009	#	#	##	##				
nafsan	tafra	0009	ZERO	ZERO	0:s	0		s	929	
nafsan	tafra	0009	ru=	3P.RS=	=lv	=lv				
nafsan	tafra	0009	to	stay	v:pred	v		pred		
nafsan	tafra	0009	#	#	##	##				
nafsan	tafra	0009	me	and	other	other				
nafsan	tafra	0009	ZERO	ZERO	0:s	0		s	929	
nafsan	tafra	0009	ruk=	3P.IRS=	=lv	=lv				
nafsan	tafra	0009	mer	again	lv	lv				
nafsan	tafra	0009	ler	return	v:pred	v		pred		
nafsan	tafra	0009	pan	go	other	other				
nafsan	tafra	0010	#	#	##	##				
nafsan	tafra	0010	selwan	while	other	other				
nafsan	tafra	0010	Paster	pastor	ln	ln				
nafsan	tafra	0010	Kalagis	p.name	pn_np.h:a	pn_np	h	a	921	
nafsan	tafra	0010	i=	3S.RS=	=lv	=lv				
nafsan	tafra	0010	nrog	hear	v:pred	v		pred		
nafsan	tafra	0010	nafsan	story	np:p	np		p	931	new
nafsan	tafra	0010	ni	of	rn	rn				
nafsan	tafra	0010	Sailas	Sailas	rn_pn_np.h:poss	rn_pn_np	h	poss	923	
nafsan	tafra	0010	#	#	##	##				
nafsan	tafra	0010	ZERO	ZERO	0.h:s	0	h	s	921	
